,name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992,09/30/1991,09/30/1990,09/30/1989,09/30/1988,09/30/1987,09/30/1986,09/30/1985,ttm
60,		LongTermDebtAndCapitalLeaseObligation,"2,968,701,000","3,333,220,000","3,585,884,000","4,027,766,000","3,578,335,000","3,655,200,000","4,348,859,000","3,904,117,000","4,379,336,000","4,348,490,000","3,064,126,000","3,940,605,000","3,887,711,000","3,306,433,000","4,004,074,000","1,251,751,000","1,201,686,000","1,985,553,000","1,614,656,000","1,567,616,000","854,777,000","482,600,000","217,000,000","229,500,000","229,500,000","51,500,000","57,500,000","68,900,000","46,800,000","51,900,000","37,800,000","5,900,000","1,600,000","14,800,000","42,000,000","12,900,000",
61,			LongTermDebt,"2,968,701,000","3,333,220,000","3,585,884,000","4,027,766,000","3,578,335,000","3,655,200,000","4,348,859,000","3,904,117,000","4,379,336,000","4,348,490,000","3,064,126,000","3,940,605,000","3,887,711,000","3,306,433,000","4,004,074,000","1,251,751,000","1,201,686,000","1,985,553,000","1,614,656,000","1,567,616,000","854,777,000","482,600,000","217,000,000","229,500,000","229,500,000","51,500,000","57,500,000","68,900,000","46,800,000","51,900,000","37,800,000","5,900,000","1,600,000","14,800,000","42,000,000","12,900,000",
62,		NonCurrentDeferredLiabilities,"1,576,000","3,149,000","6,311,000","10,338,000","9,495,000","29,326,000","443,003,000","516,161,000","599,335,000","797,925,000","770,247,000","673,427,000","497,415,000","541,982,000","584,472,000","716,645,000","385,877,000","372,824,000","402,054,000","285,401,000","97,297,000","93,000,000","72,200,000","28,300,000","18,400,000","4,000,000","800,000",,"2,300,000","2,300,000","2,600,000","1,200,000","1,400,000","1,100,000","6,500,000","6,500,000",
63,			NonCurrentDeferredTaxesLiabilities,"1,576,000","3,149,000","6,311,000","10,338,000","9,495,000","29,326,000","443,003,000","516,161,000","599,335,000","797,925,000","770,247,000","673,427,000","497,415,000","541,982,000","584,472,000","716,645,000","385,877,000","372,824,000","402,054,000","285,401,000","97,297,000","93,000,000","72,200,000","28,300,000","18,400,000","4,000,000","800,000",,"2,300,000","2,300,000","2,600,000","1,200,000","1,400,000","1,100,000","6,500,000","6,500,000",
64,		PreferredSecuritiesOutsideStockEquity,"442,840,000","425,392,000","404,861,000","203,998,000",,,0,"69,188,000","69,188,000","69,188,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
65,		OtherNonCurrentLiabilities,"318,034,000","292,184,000","274,485,000","301,633,000","522,456,000","552,947,000","601,816,000","377,744,000","518,664,000","361,946,000","314,953,000","240,057,000","261,878,000","246,714,000","162,744,000","151,415,000","146,337,000","155,667,000","137,253,000","110,902,000","99,147,000","86,800,000","49,100,000","13,600,000","9,200,000","8,600,000","7,800,000","9,900,000","9,800,000",,"13,600,000","-100,000","100,000","49,800,000","1,800,000","144,800,000",
66,TotalEquityGrossMinorityInterest,"1,256,808,000","2,050,165,000","2,750,326,000","2,938,773,000","3,254,795,000","4,293,868,000","4,918,789,000","5,981,177,000","5,957,117,000","5,601,217,000","5,342,863,000","5,181,979,000","4,692,119,000","4,514,121,000","3,536,653,000","3,758,140,000","2,929,393,000","2,490,275,000","2,158,455,000","1,857,866,000","1,806,468,000","1,470,100,000","867,500,000","727,800,000","457,800,000","368,800,000","276,800,000","267,700,000","184,800,000","140,500,000","103,200,000","44,600,000","34,900,000","-26,900,000","57,900,000","-5,600,000",
67,	StockholdersEquity,"1,151,384,000","1,982,811,000","2,700,850,000","2,911,816,000","3,247,025,000","4,282,710,000","4,908,619,000","5,969,086,000","5,944,929,000","5,587,815,000","5,328,162,000","5,167,656,000","4,692,119,000","4,514,121,000","3,536,653,000","3,758,140,000","2,929,393,000","2,490,275,000","2,158,455,000","1,857,866,000","1,806,468,000","1,470,100,000","867,500,000","727,800,000","457,800,000","368,800,000","276,800,000","267,700,000","184,800,000","140,500,000","103,200,000","44,600,000","34,900,000","-26,900,000","57,900,000","-5,600,000",
68,		CapitalStock,"424,000","422,000","416,000","368,000","334,000","331,000","328,000","324,000","319,000","317,000","315,000","314,000","312,000","305,000","299,000","158,000","150,000","147,000","145,000","14,771,000","14,715,000","13,700,000",,,,,,,,,,,,,,,
69,			PreferredStock,"5,000","6,000","6,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
